Hanzi,Meaning,Notes,alt_sort_num
雌,feminine,cí,1769
焦,apprehensive,jiāo,1770
瞧,lay eyes on,qiáo,1771
礁,reef,jiāo,1772
蕉,banana,jiāo,1773
翘,turn upward,qiào,1774
塌,fall down,tā,1775
翰,writing brush,hàn,1776
耀,show off,yào,1777
戳,jab,chuō,1778
咽,throat,yān,1779
姻,in-law,yīn,1780
墙,wall,qiáng,1781
旷,expansive,kuàng,1782
矿,mine,kuàng,1783
庆,celebrate,qìng,1784
嘛,(pause marker),ma,1785
磨,grind,mó,1786
脏,dirty,zàng,1787
赃,stolen goods,zāng,1788
桩,stake,zhuāng,1789
忠,loyal,zhōng,1790
恕,pardon,shù,1791
惑,be bewildered,huò,1792
愈,more and more,yù,1793
惠,favor,huì,1794
忌,shun,jì,1795
患,troubles,huàn,1796
惹,provoke,rě,1797
恒,permanent,héng,1798
悟,realize,wù,1799
悼,mourn,dào,1800
惧,be frightened,jù,1801
慎,prudent,shèn,1802
惰,indolent,duò,1803
恢,immense,huī,1804
惶,fearful,huáng,1805
忆,recall,yì,1806
悄,noiseless,qiǎo,1807
恍,all of a sudden,huǎng,1808
恰,just right,qià,1809
愉,overjoyed,yú,1810
怔,terror-stricken,zhèng,1811
怖,be scared of,bù,1812
慌,nervous,huāng,1813
愣,dumbfounded,shǎ,1814
悦,delighted,yuè,1815
憎,loathe,zēng,1816
惟,thinking,wéi,1817
悔,be sorry about,huǐ,1818
慕,admire,mù,1819
添,augment,tiān,1820
媳,daughter-in-law,xí,1821
熄,put out,xī,1822
泌,secrete,mì,1823
瑟,Chinese harp,sè,1824
蜜,honey,mì,1825
蛾,moth,é,1826
扒,pick pockets,pá,1827
扣,button,kòu,1828
拍,racquet,pāi,1829
啪,clapping sound,pā,1830
扑,pounce on,pū,1831
拘,detain,jū,1832
损,damage,sǔn,1833
拓,pioneer,tuò,1834
扛,carry over the shoulder,káng,1835
扎,prick,zhā,1836
拇,thumb,mǔ,1837
捎,bring to,shāo,1838
抄,copy,chāo,1839
垫,pad,diàn,1840
挚,earnest,zhì,1841
捏,pinch,niē,1842
拧,tweak,niē,1843
抹,smear on,mǒ,1844
摸,grope,mō,1845
描,describe,miáo,1846
挑,foment,tiǎo,1847
扰,harass,rǎo,1848
搞,engage in,gǎo,1849
拴,tether,shuān,1850
拾,tidy up,shí,1851
搭,put up,dā,1852
掠,pillage,lüè,1853
拭,wipe away,shì,1854
挠,chafe,náo,1855
扯,yank,chě,1856
撞,bump into,zhuàng,1857
摘,handpick,zhāi,1858
拖,drag,tuō,1859
扬,publicize,yáng,1860
搓,massage,cuō,1861
捆,lash together,kǔn,1862
扩,enlarge,kuò,1863
撼,joggle,hàn,1864
挟,coerce,xié,1865
擅,act without authority,shàn,1866
颤,tremble,chàn,1867
戒,take precautions against,jiè,1868
械,weapon,xiè,1869
诫,warn,jiè,1870
莽,rude,mǎng,1871
奔,dash,bēn,1872
喷,spurt,pēn,1873
愤,indignation,fèn,1874
材,stuff,cái,1875
荐,recommend,jiàn,1876
孕,pregnant,yùn,1877
扔,throw away,rēng,1878
携,take along,xié,1879
圾,trash,jī,1880
梗,stalk,gěng,1881
叹,sigh,tàn,1882
叉,fork,chā,1883
权,authority,quán,1884
寇,outlaw,kòu,1885
敲,knock,qiāo,1886
轰,rumble,hōng,1887
滩,beach,tān,1888
毅,resolute,yì,1889
肢,limb,zhī,1890
妓,prostitute,jì,1891
歧,fork in the road,qí,1892
翅,fins,chì,1893
淑,graceful,shū,1894
椒,spice plant,jiāo,1895
盾,shield,dùn,1896
贩,peddler,fàn,1897
扳,tug,bān,1898
烁,luminous,shuò,1899
觅,try to find,mì,1900
妥,appropriate,tuǒ,1901
豹,leopard,bào,1902
貌,mien,mào,1903
睬,notice,cǎi,1904
允,consent,yǔn,1905
宏,magnificent,hóng,1906
垒,baseball base,lěi,1907
胎,fetus,tāi,1908
怠,negligent,dài,1909
怡,cheerful,yí,1910
冶,smelt,yě,1911
抬,elevate,tái,1912
罢,cease,bà,1913
摆,put in order,bǎi,1914
丢,mislay,diū,1915
致,bring about,zhì,1916
弃,forsake,qì,1917
撤,remove,chè,1918
硫,sulfur,liú,1919
琉,glaze,liú,1920
疏,sparse,shū,1921
蔬,veggies,shū,1922
勾,cross out,gōu,1923
沟,ditch,gōu,1924
钩,hook,gōu,1925
崩,crumble,bēng,1926
岩,rock,yán,1927
峭,precipitous,qiào,1928
崎,rugged,qí,1929
崖,cliff,yá,1930
灿,brilliant,càn,1931
炭,charcoal,tàn,1932
碳,carbon,tàn,1933
岂,(rhetorical question),qǐ,1934
凯,triumphant,kǎi,1935
峡,gorge,xiá,1936
崔,Cui,cuī,1937
摧,wreck,cuī,1938
逆,go against,nì,1939
溯,go upstream,sù,1940
塑,plastic,sù,1941
盼,await hopefully,pàn,1942
颁,promulgate,bān,1943
芬,essence,fēn,1944
扮,play the part of,bàn,1945
岔,diverge,chà,1946
颂,extol,sòng,1947
讼,litigate,sòng,1948
滚,trundle,gǔn,1949
翁,elderly man,wēng,1950
嗡,buzzing,wēng,1951
裕,abundant,yù,1952
榕,banyan,róng,1953
熔,fuse,róng,1954
裳,raiment,shang,1955
掌,palm of the hand,zhǎng,1956
撑,prop up,chēng,1957
膛,chest,táng,1958
颇,quite,pō,1959
坡,slope,pō,1960
披,drape over the shoulders,pī,1961
菠,spinach,bō,1962
歼,annihilate,jiān,1963
殖,breed,zhí,1964
殊,dissimilar,shū,1965
残,incomplete,cán,1966
咧,grin,liě,1967
裂,crack,liè,1968
毙,die a violent death,bì,1969
耿,dedicated,gěng,1970
辑,edit,jí,1971
耻,shame,chǐ,1972
摄,take a photo,shè,1973
聪,smart,cōng,1974
娶,take a wife,qǔ,1975
蔓,creeping vine,wàn,1976
肤,skin,fū,1977
扶,lend a hand,fú,1978
潜,submerge,qián,1979
卧,for sleeping,wò,1980
藏,hide,cáng,1981
熙,splendid,xī,1982
勋,merit,xūn,1983
劣,inferior,liè,1984
募,recruit,mù,1985
劝,advise,quàn,1986
劫,plunder,jié,1987
抛,toss,pāo,1988
胁,threaten,xié,1989
怒,anger,nù,1990
茄,eggplant,qié,1991
彻,thorough,chè,1992
征,solicit,zhēng,1993
惩,chasten,chéng,1994
徒,follower,tú,1995
徊,undecided,huái,1996
役,service,yì,1997
循,comply with,xún,1998
彼,the other,bǐ,1999
衍,develop,yǎn,2000
衡,weight,héng,2001
衔,title,xián,2002
秃,bald,tū,2003
颓,decrepit,tuí,2004
秒,seconds,miǎo,2005
稍,a little,shāo,2006
稣,rise again,sū,2007
稿,draft,gǎo,2008
稠,dense,chóu,2009
颖,clever,yǐng,2010
稼,crops,jià,2011
税,tax,shuì,2012
稚,immature,zhì,2013
菌,fungus,jùn,2014
穗,ear of grain,suì,2015
秘,confidential,mì,2016
私,private,sī,2017
秩,order,zhì,2018
锹,shovel,qiāo,2019
梨,pear,lí,2020
犁,plow,lí,2021
萎,wilt,wěi,2022
黏,sticky,nián,2023
黎,host,lí,2024
膝,knees,xī,2025
漆,wall paint,qī,2026
锈,rust,xiù,2027
眯,squint,mī,2028
糊,batter,hù,2029
粘,glue,zhān,2030
奥,of great depth,ào,2031
澳,deep inlet,ào,2032
懊,remorseful,ào,2033
菊,chrysanthemum,jú,2034
渊,abyss,yuān,2035
粱,fine millet,liáng,2036
梁,roof beam,liáng,2037
糙,rough,cāo,2038
粒,grain,lì,2039
糕,cake,gāo,2040
蔽,shelter,bì,2041
憋,suppress,biē,2042
撇,cast aside,piē,2043
弊,fraud,bì,2044
莱,lambsquarters,lái,2045
搂,cuddle,lǒu,2046
筑,construct,zhù,2047
箩,bamboo basket,luó,2048
笨,stupid,bèn,2049
筒,tube,tǒng,2050
箭,arrow,jiàn,2051
筛,sift,shāi,2052
筋,tendon,jīn,2053
伍,V,wǔ,2054
仇,animosity,chóu,2055
倡,start,chàng,2056
伯,father's older brother,bó,2057
仲,mid-,zhòng,2058
仆,servant,pú,2059
估,estimate,gū,2060
侦,detect,zhēn,2061
俱,altogether,jù,2062
佑,bless,yòu,2063
佐,assistant,zuǒ,2064
侧,lateral,cè,2065
亿,one hundred million,yì,2066
仔,meticulous,zǐ,2067
倚,count on,yǐ,2068
俏,comely,qiào,2069
佳,superb,jiā,2070
侍,serve,shì,2071
伙,mate,huǒ,2072
倘,if,tǎng,2073
宿,stay overnight,sù,2074
伏,bend over,fú,2075
袱,wrapping cloth,fú,2076
偷,steal,tōu,2077
偿,repay,cháng,2078
伐,fell,fá,2079
佩,wear at the waist,pèi,2080
侨,live abroad,qiáo,2081
倾,incline,qīng,2082
伦,human relationships,lún,2083
侮,insult,wǔ,2084
倍,times,bèi,2085
仿,mimic,fǎng,2086
傲,haughty,ào,2087
僧,Buddhist monk,sēng,2088
悠,without haste,yōu,2090
侄,nephew,zhí,2091
仙,immortal,xiān,2092
傍,close to,bàng,2093
催,prod,cuī,2094
俗,custom,sú,2095
侠,chivalrous person,xiá,2096
俄,Russia,é,2097
聚,assemble,jù,2098
符,symbol,fú,2099
贷,loan,dài,2100
荷,Holland,hé,2101
杖,cane,zhàng,2102
仗,battle,zhàng,2103
丛,thicket,cóng,2104
耸,shrug,sǒng,2105
挫,frustrate,cuò,2106
诬,charge falsely,wū,2107
葛,kudzu,gé,2108
褐,brown,hè,2109
竭,use up,jié,2110
歇,take a rest,xiē,2111
揭,reveal,jiē,2112
淫,promiscuous,yín,2113
凭,proof,píng,2114
挺,erect,tǐng,2115
赎,redeem,shú,2116
瓦,tile,wǎ,2117
瓷,porcelain,cí,2118
拟,simulate,nǐ,2119
瓶,bottle,píng,2120
宫,palace,gōng,2121
铝,aluminum,lǚ,2122
萤,firefly,yíng,2123
莹,lustrous,yíng,2124
蒙,Mongolia,Měng,2125
朦,dim,méng,2126
捞,scoop up,lāo,2127
旋,whirl,xuàn,2128
吻,kiss,wěn,2129
匆,hurriedly,cōng,2130
葱,onion,cōng,2131
锡,tin,xī,2132
惕,watchful,tì,2133
卢,Louvre,lú,2134
屉,drawer,tì,2135
屑,bits,xiè,2136
尿,urine,niào,2137
犀,rhinoceros,xī,2138
迟,tardy,chí,2139
刷,brush,shuā,2140
漏,leak,lòu,2141
屁,fart,pì,2142
屈,knuckle under,qū,2143
掘,excavate,jué,2144
履,footwear,lǚ,2145
屎,excrement,shǐ,2146
屡,time and again,lǚ,2147
屏,folding screen,píng,2148
眉,eyebrows,méi,2149
媚,flatter,mèi,2150
昼,daylight,zhòu,2151
启,enlighten,qǐ,2152
肩,shoulder,jiān,2153
妒,jealous of,dù,2154
炉,stove,lú,2155
芦,reeds,lú,2156
扇,fan,shàn,2157
奈,can't help but,nài,2158
款,funds,kuǎn,2159
凛,chilly,lǐn,2160
祟,evil spirit,suì,2161
祝,wish well,zhù,2162
祥,propitious,xiáng,2163
蔚,luxuriant,wèi,2164
慰,console,wèi,2165
蒜,garlic,suàn,2166
棕,palm tree,zōng,2167
宙,universe,zhòu,2168
轴,axle,zhóu,2169
袖,sleeve,xiù,2170
庙,temple,miào,2171
笛,flute,dí,2172
届,fall due,jiè,2173
呻,groan,shēn,2174
坤,female,kūn,2175
审,painstaking,shěn,2176
婶,auntie,shěn,2177
畅,smooth,chàng,2178
巢,nest,cháo,2179
棵,flora,kē,2180
裸,naked,luǒ,2181
裹,envelop,guǒ,2182
析,analyze,xī,2183
晰,distinct,xī,2184
芹,celery,qín,2185
祈,supplicate,qí,2186
欣,elated,xīn,2187
掀,uncover,xiān,2188
惭,conscience-stricken,cán,2189
崭,towering,zhǎn,2190
浙,Zhejian Province,zhè,2191
誓,vow,shì,2192
拆,take apart,chāi,2193
炸,blow up,zhà,2194
诈,swindle,zhà,2195
归,come back,guī,2196
皱,wrinkles,zhòu,2197
煞,goblin,shà,2198
趋,hasten,qū,2199
雏,chick,chú,2200
浸,immerse,jìn,2201
寝,get some shuteye,qǐn,2202
侵,invade,qīn,2203
缘,reason,yuán,2204
稳,stable,wěn,2205
挡,fend off,dǎng,2206
剥,peel off,bāo,2207
秉,wield,bǐng,2208
妻,wife,qī,2209
凄,miserable,qī,2210
捷,nimble,jié,2211
肃,solemn,sù,2212
啸,howl,xiào,2213
萧,desolate,xiāo,2214
兼,double,jiān,2215
赚,earn,zhuàn,2216
嫌,dislike,xián,2217
谦,unassuming,qiān,2218
歉,apology,qiàn,2219
廉,inexpensive,lián,2220
镰,sickle,lián,2221
睁,unshut,zhēng,2222
挣,struggle,zhēng,2223
筝,Chinese zither,zhēng,2224
塘,pool,táng,2225
隶,bondservant,lì,2226
逮,arrest,dài,2227
慷,generous,kāng,2228
糠,chaff,kāng,2229
笋,bamboo shoot,sǔn,2230
耍,mess around,shuǎ,2231
耐,-proof,nài,2232
喘,wheeze,chuǎn,2233
揣,conjecture,chuǎi,2234
槽,trough,cáo,2235
遭,meet with,zāo,2236
糟,messed up,zāo,2237
抖,quiver,dǒu,2238
惜,rue,xī,2239
措,arrange,cuò,2240
腊,dried meat,là,2241
蜡,wax,là,2242
猎,hunt,liè,2243
燕,swallow,yàn,2244
遮,screen,zhē,2245
畔,littoral,pàn,2246
拌,blend,bàn,2247
叛,betray,pàn,2248
券,voucher,quàn,2249
藤,rattan,téng,2250
鼎,old cooking pot,dǐng,2251
芝,sesame,zhī,2252
贬,devalue,biǎn,2253
泛,nonspecific,fàn,2254
歪,askew,wāi,2255
矫,rectify,jiǎo,2256
矮,short of stature,ǎi,2257
唉,sigh--ay-ay,āi,2258
埃,fine dust,āi,2259
挨,suffer,ái,2260
簇,cluster,cù,2261
茅,thatch,máo,2262
橘,tangerine,jú,2263
舒,relax,shū,2264
览,view,lǎn,2265
揽,take on,lǎn,2266
肾,kidneys,shèn,2267
竖,perpendicular,shù,2268
弘,noble,hóng,2269
夷,barbarian,yí,2270
姨,maternal aunt,yí,2271
疆,dividing line,jiāng,2272
僵,stiff,jiāng,2273
粥,porridge,zhōu,2274
蝉,cicada,chán,2275
禅,meditation,chán,2276
沸,bring to a boil,fèi,2277
拂,caress,fú,2278
剃,shave,tì,2279
递,hand over,dì,2280
梯,ladder,tī,2281
涕,snot,tì,2282
朽,decayed,xiǔ,2283
聘,employ,pìn,2284
姊,elder sister,zǐ,2285
亏,loss,kuī,2286
污,filthy,wū,2287
夸,brag,kuā,2288
垮,collapse,kuǎ,2289
挎,carry on the arm,kuà,2290
鳄,crocodile,è,2291
愕,stunned,è,2292
躺,lie down,tǎng,2293
躲,dodge,duǒ,2294
躬,stoop,gōng,2295
嗜,hanker,shì,2296
姥,maternal grandmother,lǎo,2297
拷,flog,kǎo,2298
屿,islet,yǔ,2299
暑,summer heat,shǔ,2300
睹,behold,dǔ,2301
署,add your John Hancock,shǔ,2302
薯,yam,shǔ,2303
赌,gamble,dǔ,2304
奢,extravagant,shē,2305
堵,stop up,dǔ,2306
煮,boil,zhǔ,2307
诸,various,zhū,2308
储,put in storage,chǔ,2309
屠,slaughter,tú,2310
棺,coffin,guān,2311
爹,dad,diē,2312
斧,axe,fǔ,2313
咬,bite,yǎo,2314
胶,gum,jiāo,2315
狡,sly,jiǎo,2316
捉,catch,zhuō,2317
促,urge,cù,2318
趴,prostrate oneself,pā,2319
踏,trample,tà,2320
践,tread on,jiàn,2321
跃,leap,yuè,2322
蹄,hoof,tí,2323
踩,step on,cǎi,2324
蹦,hop,bèng,2325
跌,slump,diē,2326
踢,kick,tī,2327
踪,tracks,zōng,2328
跨,straddle,kuà,2329
躁,impetuous,zào,2330
噪,chirping,zào,2331
澡,bath,zǎo,2332
藻,algae,zǎo,2333
燥,parched,zào,2334
操,exercise,cāo,2335
猾,cunning,huá,2336
髓,marrow,suǐ,2337
陌,footpath,mò,2338
隙,rift,xì,2339
陡,steep,dǒu,2340
陪,accompany,péi,2341
障,barrier,zhàng,2342
隧,tunnel,suì,2343
陋,undesirable,lòu,2344
隐,hidden,yǐn,2345
陕,Shaanxi Province,shǎn,2346
陵,mausoleum,líng,2347
棱,edge,léng,2348
菱,water caltrop,líng,2349
凌,bully,líng,2350
融,melt,róng,2351
隔,separate,gé,2352
窃,pilfer,qiè,2353
挖,dig,wā,2354
帘,drapes,lián,2355
窥,peep,kuī,2356
穷,poor,qióng,2357
窄,strait,zhǎi,2358
榨,extract,zhà,2359
窟,den,kū,2360
窘,poverty-stricken,jiǒng,2361
窜,scurry,cuàn,2362
腔,body cavity,qiāng,2363
窝,hollow,wō,2364
涡,whirlpool,wō,2365
锅,pot,guō,2366
祸,misfortune,huò,2367
蜗,snail,wō,2368
宾,visitor,bīn,2369
滨,water's edge,bīn,2370
绷,stretch taut,bēng,2371
纤,fiber,xiān,2372
绰,ample,chuò,2373
绍,acquaint,shào,2374
纱,yarn,shā,2375
络,web,luò,2376
绸,silk fabric,chóu,2377
绒,down,róng,2378
绕,go around,rào,2379
绽,split at the seams,zhàn,2380
绵,continuous,mián,2381
缔,conclude,dì,2382
纺,spin,fǎng,2383
缠,wind around,chán,2384
绘,paint,huì,2385
纷,disorderly,fēn,2386
绣,embroidery,xiù,2387
缕,in detail,lǚ,2388
缩,shrink,suō,2389
纳,let in,nà,2390
综,sum up,zōng,2391
绅,gentry,shēn,2392
绪,inception,xù,2393
绞,wring,jiǎo,2394
缓,unhurried,huǎn,2395
暖,warm,nuǎn,2396
援,provide assistance,yuán,2397
绢,tough silk,juàn,2398
捐,contribute,juān,2399
缴,shell out,jiǎo,2400
邀,request the presence of,yāo,2401
缆,cable,lǎn,2402
哟,Oh!,yō,2403
颈,neck,jǐng,2404
茎,plant stem,jīng,2405
径,trail,jìng,2406
劲,powerful,jìng,2407
幼,young,yòu,2408
溪,creek,xī,2409
幽,secluded,yōu,2410
玄,mysterious,xuán,2411
弦,bowstring,xián,2412
畜,livestock,chù,2413
蓄,save up,xù,2414
磁,magnetism,cí,2415
滋,nourish,zī,2416
慈,kindhearted,cí,2417
累,tired,lèi,2418
螺,spiral shell,luó,2419
紫,purple,zǐ,2420
繁,numerous,fán,2421
絮,long-winded,xù,2422
索,large rope,suǒ,2423
脖,head-hinge,bó,2424
勃,vibrant,bó,2425
卸,unload,xiè,2426
御,withstand,yù,2427
卵,nest eggs,luǎn,2428
孵,hatch,fū,2429
乳,breast,rǔ,2430
浮,float,fú,2431
俘,captive,fú,2432
榴,pomegranate,liú,2433
爷,grandfather,yé,2434
疑,doubt,yí,2435
凝,congeal,níng,2436
玲,exquisite,líng,2437
铃,small bell,líng,2438
怜,pity,lián,2439
岭,mountain range,lǐng,2440
伶,actor,líng,2441
涌,gush,yǒng,2442
桶,bucket,tǒng,2443
诵,read aloud,sòng,2444
范,model,fàn,2445
扼,clutch,è,2446
卷,exam paper,juàn,2447
倦,worn out,juàn,2448
圈,circle,quān,2449
怨,resentment,yuàn,2450
宛,winding,wǎn,2451
腕,wrist,wàn,2452
婉,tactful,wǎn,2453
碗,bowl,wǎn,2454
苍,ash-colored,cāng,2455
抢,rob,qiǎng,2456
诡,deceitful,guǐ,2457
跪,kneel,guì,2458
舆,popular,yú,2459
酌,pour wine,zhuó,2460
酬,reward,chóu,2461
酷,brutal,kù,2462
醇,mellow wine,chún,2463
醋,vinegar,cù,2464
酱,thick sauce,jiàng,2465
奖,award,jiǎng,2466
浆,thick liquid,jiāng,2467
桨,oar,jiǎng,2468
蒋,Jiang,jiǎng,2469
醉,drunk,zuì,2470
碎,shattered,suì,2471
翠,emerald green,cuì,2472
粹,unmixed,cuì,2473
酸,sour,suān,2474
梭,shuttle,suō,2475
峻,lofty,jùn,2476
俊,handsome,jùn,2477
奠,found,diàn,2478
